SecurityCode,AbbrEn,AbbrCn,SecurityType,UpdateDate
00001,CKH HOLDINGS,长和,股票,2026-05-21
00002,CLP HOLDINGS,中电控股,股票,2026-05-21
00003,HK & CHINA GAS,香港中华煤气,股票,2026-05-21
00004,WHARF HOLDINGS,九龙仓集团,股票,2026-05-21
00005,HSBC HOLDINGS,汇丰控股,股票,2026-05-21
00006,POWER ASSETS,电能实业,股票,2026-05-21
00008,PCCW,电讯盈科,股票,2026-05-21
00010,HANG LUNG GROUP,恒隆集团,股票,2026-05-21
00012,HENDERSON LAND,恒基地产,股票,2026-05-21
00013,HUTCHMED,和黄医药,股票,2026-05-21
00014,HYSAN DEV,希慎兴业,股票,2026-05-21
00016,SHK PPT,新鸿基地产,股票,2026-05-21
00017,NEW WORLD DEV,新世界发展,股票,2026-05-21
00019,SWIRE PACIFIC A,太古股份公司Ａ,股票,2026-05-21
00020,SENSETIME-W,商汤－Ｗ,股票,2026-05-21
00023,BANK OF E ASIA,东亚银行,股票,2026-05-21
00027,GALAXY ENT,银河娱乐,股票,2026-05-21
00038,FIRST TRACTOR,第一拖拉机股份,股票,2026-05-21
00041,GREAT EAGLE H,鹰君,股票,2026-05-21
00066,MTR CORPORATION,港铁公司,股票,2026-05-21
00081,CH OVS G OCEANS,中国海外宏洋集团,股票,2026-05-21
00083,SINO LAND,信和置业,股票,2026-05-21
00087,SWIRE PACIFIC B,太古股份公司Ｂ,股票,2026-05-21
00101,HANG LUNG PPT,恒隆地产,股票,2026-05-21
00107,SICHUAN EXPRESS,四川成渝高速公路,股票,2026-05-21
00119,POLY PROPERTY,保利置业集团,股票,2026-05-21
00123,YUEXIU PROPERTY,越秀地产,股票,2026-05-21
00135,KUNLUN ENERGY,昆仑能源,股票,2026-05-21
00136,CHINA RUYI,中国儒意,股票,2026-05-21
00142,FIRST PACIFIC,第一太平,股票,2026-05-21
00144,CHINA MER PORT,招商局港口,股票,2026-05-21
00148,KINGBOARD HLDG,建滔集团,股票,2026-05-21
00151,WANT WANT CHINA,中国旺旺,股票,2026-05-21
00152,SHENZHEN INT'L,深圳国际,股票,2026-05-21
00165,CHINA EB LTD,中国光大控股,股票,2026-05-21
00168,TSINGTAO BREW,青岛啤酒股份,股票,2026-05-21
00173,K. WAH INT'L,嘉华国际,股票,2026-05-21
00175,GEELY AUTO,吉利汽车,股票,2026-05-21
00177,JIANGSU EXPRESS,江苏宁沪高速公路,股票,2026-05-21
00179,JOHNSON ELEC H,德昌电机控股,股票,2026-05-21
00187,JINGCHENG MAC,京城机电股份,股票,2026-05-21
00189,DONGYUE GROUP,东岳集团,股票,2026-05-21
00200,MELCO INT'L DEV,新濠国际发展,股票,2026-05-21
00220,U-PRESID CHINA,统一企业中国,股票,2026-05-21
00241,ALI HEALTH,阿里健康,股票,2026-05-21
00257,EB ENVIRONMENT,光大环境,股票,2026-05-21
00267,CITIC,中信股份,股票,2026-05-21
00268,KINGDEE INT'L,金蝶国际,股票,2026-05-21
00270,GUANGDONG INV,粤海投资,股票,2026-05-21
00285,BYD ELECTRONIC,比亚迪电子,股票,2026-05-21
00288,WH GROUP,万洲国际,股票,2026-05-21
00290,GOFINTECH QUANT,国富量子,股票,2026-05-21
00291,CHINA RES BEER,华润啤酒,股票,2026-05-21
00293,CATHAY PAC AIR,国泰航空,股票,2026-05-21
00297,SINOFERT,中化化肥,股票,2026-05-21
00300,MIDEA GROUP,美的集团,股票,2026-05-21
